"hello","నమస్కారం","नमस्ते"
"love","ప్రేమ","प्यार"
"water","నీరు","पानी"
"ah","అబ్బా","आह"
"15 fortnight","పక్షం రోజులు","पख वाड़ा"
"a little","కొంచెం","थोड़ा"
"a, an","ఒక","एक"
"aback","వెనక్కి","पीछेकी ओर*"
"abandon","విడిచిపెట్టు","छोड़देना"
"abandonment","విడచివేయటం","परित्याग करना"
"abbreviate","సంక్షేపించు","संक्षिप्त करना"
"abbreviation","సంక్షేపం","संक्षिप्तीकरण"
"abdomen","ఉదరం","पेट"
"abduction","అపహరణం","अपहरण"
"abetment","చెడు ప్రేరణ","बहकाव"
"abeyance","తత్కాల ఆపుదల","आस्धगन"
"abide","కట్టుబడు","पालन करना"
"abject","కఠినమైన","नितान्त"
"able","చేయగల శక్తి గల","सक्षम"
"abode","గృహం","निवास"
"abolish","నిర్మూలించు","समाप्त करना"
"abortion","గర్భస్రావం","गर्भपात"
"about","గురించి","केबारेमेँ"
"above atop","పైన","ऊपर"
"abroad","విదేశాలలో","विदेशमें"
"abrogation","కొట్టివేయడం","निराकरण"
"abscess","చీముపుండు","फोड़ा"
"abscond","తప్పించుకుతిరుగు","फ़रारहोना"
"absence","గైరు హాజరు","अनुपस्थिति*"
"absolute","సంపూర్ణ","पूर्ण"
"absolutely","పూర్తిగా","पूर्णत"
"absorb suck","పీల్చు","चूसना"
"absorbed","ఇంకిన","अवशोषित"
"absorption","శోషణ లీనమవటం","अवशोषण"
"abstract","స్ధిరరూపం లేని","आमूर्त"
"absurd","విపరీతమైన","अनर्गल"
"abundance","విస్తారం","प्रचुरता*"
"abuse","దుర్వినియోగం","गुरुपयोग"
"academic","విద్యాసంబంధ","शैक्षिक"
"academic year","విద్యాసంవత్సరం","शैक्षिकवर्ष"
"academy","విద్వత్సభ","अकादमी*"
"accelerate","త్వరితం చేయు","तेजी*लाना"
"accent","మాట్లాడు విధానం","उच्चारण"
"access","ప్రవేశం","पहुँच*"
"accessory","సహాయకం","गौण"
"accident, mishap","ప్రమాదం","दुर्घटना*"
"acclaim","ప్రశంసించు","अभिनंदन करना"
"accommodate","వసతియిచ్చు","आवासदेना"
"accommodation","వసతి","आवास"
"accompany","వెంటబోవు","केसाथ"
"accomplice","తోడుదొంగ","सहापराधी"
"accomplish","సాధించు","पूरा करना"
"accomplishment","పరిపూర్తి","परिपूर्ति*"
"accord","సరిపడు","अनुकूल होना"
"accordance","అనుగుణ్యత","अनुसारिता*"
"according","ప్రకారం","अनुसार"
"account","ఖాతా","खाता"
"accountability","జవాబుదారీ","जवाबदेही*"
"accounting","లెక్కలు చూడటం","लेखांकन"
"accrual","సంకలనం","प्रोद्भवन"
"accrued","వృద్ధి చెందిన","उपार्जित"
"accumulate, amass","కూడబెట్టు","एकत्र करना"
"accuracy","కచ్చితత్వం","शुद्धता*"
"accurate","కచ్చితమైన","सही"
"accurately","కచ్చితంగా","सहीतौरपर"
"accusation","నిందారోపణ","आरोप"
"accuse","నింద వేయు","आरोप लगाना"
"accused","నిందితుడు","अभियुक्त"
"accustom","అలవాటుపడు","अभ्यास होना"
"ache","బాధ","दर्द, suffering"
"achieve","సాధించు","प्राप्त करना"
"achievement","విజయం","उपलब्धि*"
"acknowledgment, receipt voucher","రసీదు","रसीद*"
"acme","శిఖరం","पराकाष्टा*"
"acne","మొటిమలు","मुँहासा"
"acquaint introduce","పరిచయం చేయు","परिचय करना"
"Acquaintance, introduction","పరిచయం","परिचय करना"
"acquire","సంపాదించు","अधिग्रहण करना"
"acquisition","సముపార్జన","अर्जन"
"acquit","విముక్తిపొందు","अपराधमुक्त करना"
"acquittal","విముక్తి","दोषमुक्ति*"
"act","చట్టం","अधिनियम"
